4000 3
96 49 84 
51 38 17 
97 35 96 
20 60 68 
8 81 52 
69 71 85 
81 75 25 
43 69 79 
42 61 89 
94 79 87 
71 74 48 
51 65 76 
68 62 93 
70 26 83 
30 42 55 
50 29 13 
31 5 58 
60 35 83 
55 78 42 
9 88 59 
11 29 70 
65 7 92 
53 37 63 
10 77 63 
31 66 63 
39 32 18 
95 24 27 
17 37 74 
36 95 12 
22 74 24 
80 6 50 
99 70 74 
39 92 51 
61 42 98 
62 86 69 
41 82 75 
99 91 12 
97 0 1 
52 14 73 
25 19 9 
80 32 86 
20 44 24 
9 38 11 
74 84 73 
92 71 89 
63 92 43 
20 64 28 
41 54 12 
68 74 17 
42 96 31 
63 21 13 
38 78 35 
93 48 91 
65 64 62 
30 56 41 
54 94 39 
33 15 16 
88 3 75 
79 44 4 
91 89 7 
55 10 24 
45 80 52 
84 76 71 
19 76 66 
97 16 38 
73 86 61 
86 67 75 
67 25 63 
16 47 67 
98 59 52 
75 64 25 
77 87 30 
13 32 46 
63 51 29 
50 58 71 
48 87 80 
98 64 87 
42 49 90 
17 56 67 
70 51 74 
32 17 69 
33 56 22 
45 57 88 
55 41 37 
3 66 2 
37 68 89 
24 56 26 
54 65 14 
38 76 81 
73 17 30 
73 40 76 
85 71 56 
75 74 63 
28 53 70 
22 91 92 
94 89 87 
80 66 84 
40 62 46 
60 38 71 
45 62 37 
55 42 19 
0 7 75 
88 36 26 
68 4 36 
19 41 80 
35 20 99 
62 70 34 
60 60 6 
62 38 7 
80 38 59 
76 66 3 
82 16 63 
29 23 13 
44 41 51 
5 99 58 
66 94 99 
4 89 98 
12 42 8 
70 6 61 
40 31 17 
33 9 42 
2 74 19 
63 5 98 
32 97 61 
16 41 50 
95 71 63 
78 39 78 
83 94 18 
61 97 23 
84 41 36 
32 0 6 
21 25 22 
15 69 45 
0 91 94 
89 45 49 
33 45 59 
91 23 15 
93 25 55 
78 99 40 
10 20 66 
19 81 89 
71 5 71 
1 55 75 
91 20 33 
64 86 29 
6 28 29 
42 29 50 
60 97 1 
23 33 11 
77 29 76 
46 36 18 
39 12 1 
13 38 61 
73 96 13 
18 1 91 
47 72 16 
30 98 71 
80 84 32 
22 74 53 
41 32 90 
93 52 23 
58 71 65 
52 71 49 
95 46 4 
94 29 69 
92 41 98 
90 38 30 
93 86 18 
90 5 34 
83 64 55 
73 99 58 
96 26 87 
23 15 75 
7 57 93 
64 57 29 
59 73 95 
25 4 11 
62 86 14 
15 78 58 
45 22 71 
68 59 50 
25 93 19 
65 78 6 
69 42 61 
46 17 5 
91 63 29 
87 65 34 
6 19 3 
24 92 31 
40 33 5 
44 30 33 
78 73 67 
30 63 47 
76 76 85 
46 33 0 
30 88 22 
50 99 27 
96 52 71 
83 85 74 
19 6 7 
5 11 23 
9 8 71 
18 18 1 
3 7 86 
62 82 29 
26 38 90 
34 9 1 
74 43 36 
61 14 76 
49 99 59 
73 17 68 
55 65 18 
74 40 56 
89 12 1 
41 73 47 
6 71 40 
18 43 43 
99 3 9 
75 93 56 
77 48 5 
1 42 23 
63 81 8 
97 40 81 
65 12 89 
4 67 30 
68 18 98 
71 78 77 
35 10 67 
24 54 16 
15 49 0 
26 45 89 
24 12 83 
21 48 75 
41 91 83 
3 42 28 
42 41 86 
22 40 14 
86 18 39 
87 63 65 
39 14 95 
11 23 90 
19 83 19 
63 41 2 
0 12 14 
64 16 41 
3 40 68 
33 66 22 
43 35 49 
42 45 25 
44 43 42 
46 72 76 
48 16 27 
44 44 95 
16 54 47 
33 4 76 
24 50 54 
15 40 89 
46 11 26 
26 53 78 
45 73 2 
45 66 69 
38 72 61 
27 13 74 
22 17 86 
56 98 74 
17 79 53 
8 97 66 
16 95 4 
37 58 97 
39 99 97 
10 37 92 
92 20 25 
7 89 73 
62 5 42 
85 34 83 
74 60 41 
1 97 75 
10 42 89 
67 28 76 
4 7 49 
98 43 19 
50 47 4 
93 57 56 
65 68 32 
31 29 10 
49 38 50 
93 40 72 
54 18 0 
44 18 45 
57 42 12 
34 28 67 
33 66 41 
51 72 23 
69 61 58 
84 96 83 
68 71 52 
86 5 81 
52 64 37 
44 35 66 
64 5 78 
55 73 98 
98 16 73 
89 83 16 
89 19 62 
85 76 29 
96 58 4 
90 44 17 
75 18 87 
39 93 68 
10 28 22 
67 9 94 
89 74 24 
56 24 63 
22 99 19 
89 33 72 
32 88 36 
64 45 3 
40 54 73 
6 4 63 
29 26 72 
75 14 30 
19 98 82 
7 88 56 
15 6 94 
90 9 90 
77 13 38 
4 26 77 
47 74 53 
98 98 83 
66 59 9 
30 41 88 
50 87 61 
17 73 36 
18 31 10 
69 56 62 
77 94 88 
84 87 31 
6 45 49 
84 6 90 
5 36 29 
87 34 81 
44 41 32 
76 88 7 
49 49 88 
70 90 81 
62 10 87 
2 14 62 
28 16 66 
24 68 24 
11 21 27 
51 16 75 
29 84 26 
81 56 62 
76 76 93 
54 68 16 
54 4 22 
75 58 0 
60 22 97 
76 83 36 
72 82 41 
81 15 85 
13 42 95 
96 92 18 
24 25 95 
60 80 56 
2 68 58 
40 73 66 
2 23 66 
12 12 73 
29 77 59 
37 89 67 
93 36 47 
75 93 29 
79 63 84 
33 49 66 
51 65 30 
60 13 24 
38 3 79 
76 71 76 
27 87 49 
44 52 85 
60 26 0 
59 15 43 
78 52 40 
45 91 48 
79 66 44 
55 74 48 
95 48 25 
40 49 34 
14 67 46 
48 28 75 
48 13 88 
45 15 66 
91 60 27 
31 95 18 
40 88 4 
50 86 57 
